Date,SPG
2003-10-10,16.268051147460938
2003-10-13,16.311119079589844
2003-10-14,16.207019805908203
2003-10-15,16.13881492614746
2003-10-16,16.257282257080078
2003-10-17,16.167537689208984
2003-10-20,16.110103607177734
2003-10-21,15.966517448425293
2003-10-22,15.8983154296875
2003-10-23,15.830113410949707
2003-10-24,15.855246543884277
2003-10-27,16.120872497558594
2003-10-28,16.02036476135254
2003-10-29,16.2429141998291
2003-10-30,16.357784271240234
2003-10-31,16.18189239501953
2003-11-03,16.368555068969727
2003-11-04,16.458295822143555
2003-11-05,16.619823455810547
2003-11-06,16.9500675201416
2003-11-07,17.00750732421875
2003-11-10,16.942893981933594
2003-11-11,16.813663482666016
2003-11-12,17.03546905517578
2003-11-13,17.159099578857422
2003-11-14,17.282737731933594
2003-11-17,17.217283248901367
2003-11-18,17.119112014770508
2003-11-19,17.03546905517578
2003-11-20,16.970016479492188
2003-11-21,16.704580307006836
2003-11-24,16.79548454284668
2003-11-25,17.017288208007812
2003-11-26,17.246370315551758
2003-11-28,17.253639221191406
2003-12-01,17.399084091186523
2003-12-02,17.250011444091797
2003-12-03,17.428180694580078
2003-12-04,17.34818458557129
2003-12-05,17.337268829345703
2003-12-08,17.090002059936523
2003-12-09,17.090002059936523
2003-12-10,17.053661346435547
2003-12-11,17.08273696899414
2003-12-12,17.090002059936523
2003-12-15,16.919113159179688
2003-12-16,17.090002059936523
2003-12-17,17.03911018371582
2003-12-18,16.962745666503906
2003-12-19,16.977294921875
2003-12-22,16.908205032348633
2003-12-23,16.83547592163086
2003-12-24,16.84640121459961
2003-12-26,16.824569702148438
2003-12-29,16.83547592163086
2003-12-30,16.857295989990234
2003-12-31,16.850027084350586
2004-01-02,16.799121856689453
2004-01-05,17.053661346435547
2004-01-06,17.340911865234375
2004-01-07,17.217283248901367
2004-01-08,17.402725219726562
2004-01-09,17.52635955810547
2004-01-12,17.453628540039062
2004-01-13,17.780879974365234
2004-01-14,18.03542137145996
2004-01-15,17.857255935668945
2004-01-16,17.813608169555664
2004-01-20,17.72270393371582
2004-01-21,17.762704849243164
2004-01-22,17.82815933227539
2004-01-23,18.071779251098633
2004-01-26,18.36994171142578
2004-01-27,18.54448127746582
2004-01-28,18.573572158813477
2004-01-29,18.868099212646484
2004-01-30,18.92628288269043
