Date,CIEN
2010-08-17,12.619999885559082
2010-08-18,12.550000190734863
2010-08-19,12.359999656677246
2010-08-20,12.579999923706055
2010-08-23,12.279999732971191
2010-08-24,12.220000267028809
2010-08-25,12.520000457763672
2010-08-26,12.739999771118164
2010-08-27,13.029999732971191
2010-08-30,12.789999961853027
2010-08-31,12.489999771118164
2010-09-01,12.8100004196167
2010-09-02,12.800000190734863
2010-09-03,13.289999961853027
2010-09-07,13.430000305175781
2010-09-08,14.119999885559082
2010-09-09,13.920000076293945
2010-09-10,14.180000305175781
2010-09-13,14.739999771118164
2010-09-14,14.930000305175781
2010-09-15,14.880000114440918
2010-09-16,15.050000190734863
2010-09-17,15.140000343322754
2010-09-20,15.369999885559082
2010-09-21,15.229999542236328
2010-09-22,15.050000190734863
2010-09-23,15.220000267028809
2010-09-24,15.600000381469727
2010-09-27,15.65999984741211
2010-09-28,15.649999618530273
2010-09-29,15.6899995803833
2010-09-30,15.569999694824219
2010-10-01,15.449999809265137
2010-10-04,15.359999656677246
2010-10-05,15.4399995803833
2010-10-06,15.449999809265137
2010-10-07,15.59000015258789
2010-10-08,15.4399995803833
2010-10-11,15.539999961853027
2010-10-12,15.220000267028809
2010-10-13,15.140000343322754
2010-10-14,14.899999618530273
2010-10-15,14.5
2010-10-18,14.539999961853027
2010-10-19,13.550000190734863
2010-10-20,13.880000114440918
2010-10-21,13.520000457763672
2010-10-22,13.800000190734863
2010-10-25,14.149999618530273
2010-10-26,13.9399995803833
2010-10-27,13.75
2010-10-28,13.319999694824219
2010-10-29,13.8100004196167
2010-11-01,13.600000381469727
2010-11-02,13.550000190734863
2010-11-03,13.9399995803833
2010-11-04,14.199999809265137
2010-11-05,14.369999885559082
2010-11-08,14.470000267028809
2010-11-09,14.300000190734863
2010-11-10,14.609999656677246
2010-11-11,14.630000114440918
2010-11-12,14.729999542236328
2010-11-15,14.319999694824219
2010-11-16,14.039999961853027
2010-11-17,14.069999694824219
2010-11-18,14.569999694824219
2010-11-19,14.630000114440918
2010-11-22,15.34000015258789
2010-11-23,15.220000267028809
2010-11-24,15.479999542236328
2010-11-26,15.289999961853027
2010-11-29,15.510000228881836
2010-11-30,15.130000114440918
2010-12-01,15.350000381469727
2010-12-02,15.720000267028809
2010-12-03,15.930000305175781
2010-12-06,15.920000076293945
2010-12-07,15.739999771118164
2010-12-08,15.920000076293945
2010-12-09,18.360000610351562
2010-12-10,19.209999084472656
2010-12-13,19.079999923706055
2010-12-14,19.100000381469727
2010-12-15,19.290000915527344
2010-12-16,20.860000610351562
2010-12-17,21.420000076293945
2010-12-20,21.280000686645508
2010-12-21,21.479999542236328
2010-12-22,20.809999465942383
2010-12-23,20.399999618530273
2010-12-27,20.959999084472656
2010-12-28,21.239999771118164
2010-12-29,21.079999923706055
2010-12-30,21.219999313354492
